CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N077,23 ST,03:00:00,13933092.366666667,26517616.366666667,69.46666666666667,341.0,410.46666666666664
N508,23 ST,03:00:00,3082824518.1,3241540024.9333334,38.6,570.3,608.9
N509,23 ST,03:00:00,23534235.266666666,16770386.6,232.26666666666668,404.3666666666667,636.6333333333333
A031,23 ST,03:00:00,20503236.066666666,16712082.2,68.63333333333334,277.96666666666664,346.6
N075,23 ST,03:00:00,153007533.75862068,1070005.2413793104,89.6896551724138,66.55172413793103,156.24137931034483
A031,23 ST,04:00:00,20950145.651428573,17052087.742857143,177.56,765.3314285714285,942.8914285714286
N076,23 ST,04:00:00,32763672.137142856,17556958.94857143,688.2342857142858,755.9257142857143,1444.16
N077,23 ST,04:00:00,14184797.594285714,26623220.537142858,216.09714285714287,829.4057142857143,1045.5028571428572
A030,23 ST,04:00:00,130661032.48,20436595.382857144,377.5314285714286,635.7257142857143,1013.2571428571429
N508,23 ST,04:00:00,3083200407.2126436,3242180307.913793,112.35632183908046,1462.2816091954023,1574.6379310344828
N075,23 ST,04:00:00,156266808.4342857,24304673.274285715,250.29142857142858,112.77142857142857,363.0628571428571
R227A,23 ST,04:00:00,15458721.733333332,8908456.833333334,391.73333333333335,347.56666666666666,739.3
R226A,23 ST,04:00:00,36519251.8,21267033.766666666,94.66666666666667,232.23333333333332,326.9
R131,23 ST,04:00:00,21113334.833333332,8335956.366666666,363.56666666666666,289.76666666666665,653.3333333333334
R227,23 ST,04:00:00,39423297.166666664,20805329.533333335,385.6,444.1,829.7
R132,23 ST,04:00:00,20993827.366666667,41375331.53333333,190.83333333333334,885.9,1076.7333333333333
R226,23 ST,04:00:00,2066836538.5666666,1732532200.2666667,296.6,1555.3666666666666,1851.9666666666667
N509,23 ST,04:00:00,24257501.344827585,17233086.41954023,906.9827586206897,1037.1206896551723,1944.103448275862
R227A,23 ST,05:00:00,15825775.817142857,9175158.148571428,991.96,757.8742857142857,1749.8342857142857
R226,23 ST,05:00:00,2064489790.0457144,1732759223.817143,697.7485714285714,2767.2971428571427,3465.0457142857144
R132,23 ST,05:00:00,21126433.04,41609399.02857143,539.08,1772.057142857143,2311.137142857143
R227,23 ST,05:00:00,39921864.63428571,21015385.582857143,812.0571428571428,943.1542857142857,1755.2114285714285
R226A,23 ST,05:00:00,36620756.873563215,21408033.08045977,285.7931034482759,431.8103448275862,717.6034482758621
R131,23 ST,05:00:00,19943526.98275862,7950023.074712643,838.816091954023,644.448275862069,1483.2643678160919
R227A,23 ST,06:14:09,4205802.0,1802556.0,1.0,0.0,1.0
R227A,23 ST,06:15:29,15598315.0,9014933.0,339.0,288.0,627.0
R227,23 ST,06:16:51,7857543.0,2887303.0,2.0,0.0,2.0
R227,23 ST,06:19:32,24620975.0,11343551.0,1.0,10.0,11.0
R227,23 ST,06:20:57,6924268.0,2525588.0,1.0,0.0,1.0
R227,23 ST,06:22:18,933278.0,361720.0,1.0,0.0,1.0
R227,23 ST,06:25:00,39430408.0,20788739.0,318.0,305.0,623.0
N508,23 ST,06:27:05,3083150822.0,3242053371.0,97.0,1093.0,1190.0
R227,23 ST,06:32:03,39813076.0,20948388.0,720.0,644.0,1364.0
N076,23 ST,06:42:49,32543369.0,17430272.0,593.0,613.0,1206.0
N075,23 ST,06:43:54,103379894.0,351195.0,228.0,101.0,329.0
N077,23 ST,07:00:00,13933161.833333334,26517957.366666667,1077.5666666666666,2335.5333333333333,3413.1
N509,23 ST,07:00:00,23534467.533333335,16770790.966666667,4286.366666666667,5216.5,9502.866666666667
N508,23 ST,07:00:00,3082824556.7,3241540595.233333,510.3666666666667,5188.766666666666,5699.133333333333
A030,23 ST,07:00:00,129906043.76666667,20109492.4,2101.766666666667,3238.1666666666665,5339.933333333333
N075,23 ST,07:00:00,154902551.06666666,1129645.6666666667,995.0,327.1666666666667,1322.1666666666667
N076,23 ST,07:00:00,32086053.866666667,17186648.266666666,2719.266666666667,2679.9666666666667,5399.233333333334
A031,23 ST,07:00:00,20503304.7,16712360.166666666,910.2333333333333,3675.1666666666665,4585.4
R131,23 ST,07:21:42,18582426.0,7413273.0,152.0,97.0,249.0
R227,23 ST,07:28:04,39821891.0,20952100.0,611.0,832.0,1443.0
R227,23 ST,07:29:50,36542518.0,19675755.0,105.0,143.0,248.0
N509,23 ST,07:33:35,21536348.0,15638693.0,342.0,385.0,727.0
R131,23 ST,07:38:39,17845995.0,7131899.0,40.0,26.0,66.0
R131,23 ST,07:38:47,21328506.0,8442558.0,648.0,443.0,1091.0
N508,23 ST,07:39:04,3083121846.0,3242002581.0,30.0,469.0,499.0
R132,23 ST,07:40:02,19681934.0,38868290.0,70.0,278.0,348.0
R226,23 ST,07:42:19,2067415245.0,1739649472.0,524.0,2114.0,2638.0
