CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R231,33 ST,00:00:00,43063326.5,20715737.5,292.5,136.05555555555554,428.55555555555554
R232,33 ST,00:00:00,20934658.0,22859802.8125,119.8125,68.9375,188.75
R232A,33 ST,00:00:00,172856381.625,69710087.9375,74.8125,19.875,94.6875
R231A,33 ST,00:00:00,17706987.444444444,10911746.555555556,209.38888888888889,93.77777777777777,303.1666666666667
R231,33 ST,01:00:00,42930071.634920634,20693651.634920634,168.9047619047619,68.92063492063492,237.82539682539684
R232,33 ST,01:00:00,23777894.0625,25856080.59375,80.671875,55.328125,136.0
R231A,33 ST,01:00:00,17781062.78125,11692077.40625,104.71875,56.453125,161.171875
R232A,33 ST,01:00:00,183680653.328125,68927072.921875,51.453125,17.609375,69.0625
R232,33 ST,04:00:00,21623743.307692308,23707492.923076924,67.15384615384616,291.15384615384613,358.3076923076923
R232A,33 ST,04:00:00,163554465.0,59027200.14285714,26.642857142857142,97.71428571428571,124.35714285714286
R231A,33 ST,04:00:00,17596334.0,10696690.066666666,95.46666666666667,95.86666666666666,191.33333333333334
R231,33 ST,04:00:00,43050375.733333334,20708056.933333334,167.53333333333333,163.46666666666667,331.0
R231,33 ST,05:00:00,42551444.70149254,20527785.820895523,237.19402985074626,193.40298507462686,430.5970149253731
R232,33 ST,05:00:00,23729395.151515152,25806676.515151516,156.1969696969697,458.0151515151515,614.2121212121212
R231A,33 ST,05:00:00,18297786.196969695,12016417.333333334,144.04545454545453,117.68181818181819,261.72727272727275
R232A,33 ST,05:00:00,182996937.3181818,68916307.74242425,65.63636363636364,167.87878787878788,233.5151515151515
R232A,33 ST,08:00:00,169740127.57142857,68674525.28571428,216.85714285714286,278.85714285714283,495.7142857142857
R231,33 ST,08:00:00,43050543.266666666,20708220.4,670.0,607.9333333333333,1277.9333333333334
R232,33 ST,08:00:00,21532589.07142857,23575974.14285714,668.5714285714286,812.4285714285714,1481.0
R231A,33 ST,08:00:00,17718990.066666666,10947249.0,385.2,378.46666666666664,763.6666666666666
R231A,33 ST,09:00:00,18494153.8,12166625.26153846,516.2923076923076,441.9230769230769,958.2153846153847
R232,33 ST,09:00:00,23729551.348484848,25807134.53030303,995.8787878787879,934.8484848484849,1930.7272727272727
R232A,33 ST,09:00:00,186810022.43939394,69933276.5909091,354.6363636363636,344.07575757575756,698.7121212121212
R231,33 ST,09:00:00,43349644.15151515,20898166.636363637,845.030303030303,586.1969696969697,1431.2272727272727
R232A,33 ST,12:00:00,175658074.5,72185221.42857143,396.42857142857144,361.35714285714283,757.7857142857143
R232,33 ST,12:00:00,22965726.692307692,25029638.46153846,1163.0,949.1538461538462,2112.153846153846
R231,33 ST,12:00:00,43051213.266666666,20708828.333333332,1280.2666666666667,908.2,2188.4666666666667
R231A,33 ST,12:00:00,17596813.866666667,10697163.933333334,768.0666666666667,718.9333333333333,1487.0
R232,33 ST,13:00:00,23730547.227272727,25808069.37878788,1145.6363636363637,1018.969696969697,2164.6060606060605
R232A,33 ST,13:00:00,191049047.7761194,69909159.02985075,439.46268656716416,429.97014925373134,869.4328358208955
R231A,33 ST,13:00:00,18494670.09230769,12167067.184615385,813.0615384615385,808.276923076923,1621.3384615384616
R231,33 ST,13:00:00,42953037.18181818,20724446.136363637,1306.5454545454545,849.939393939394,2156.4848484848485
R231A,33 ST,16:00:00,17720143.333333332,10948346.4,839.0,830.6666666666666,1669.6666666666667
R232,33 ST,16:00:00,22727310.5,24786350.833333332,1049.0833333333333,914.25,1963.3333333333333
R232A,33 ST,16:00:00,169740002.2142857,68674463.14285715,358.7857142857143,318.64285714285717,677.4285714285714
R231,33 ST,16:00:00,43052493.53333333,20709736.533333335,1355.4,976.1333333333333,2331.5333333333333
R232,33 ST,17:00:00,23392163.179104477,25443331.62686567,912.8358208955224,764.7611940298508,1677.597014925373
R232A,33 ST,17:00:00,185020472.1969697,68915391.12121212,360.8030303030303,331.8636363636364,692.6666666666666
R231,33 ST,17:00:00,43024883.378787875,20719231.28787879,1138.090909090909,771.7575757575758,1909.8484848484848
R231A,33 ST,17:00:00,18352272.21212121,12032649.106060605,683.439393939394,781.2424242424242,1464.6818181818182
R231A,33 ST,20:00:00,17720982.333333332,10949177.066666666,523.9333333333333,350.26666666666665,874.2
R232,33 ST,20:00:00,21729307.923076924,23419444.153846152,479.84615384615387,386.61538461538464,866.4615384615385
R231,33 ST,20:00:00,43053848.93333333,20710712.666666668,812.8666666666667,446.53333333333336,1259.4
R232A,33 ST,20:00:00,174911285.84615386,68718478.61538461,217.92307692307693,129.23076923076923,347.15384615384613
R231A,33 ST,21:00:00,18123487.67164179,11909270.373134328,441.6865671641791,285.85074626865674,727.5373134328358
R231,33 ST,21:00:00,42314355.20895522,20416723.46268657,654.9850746268656,318.04477611940297,973.0298507462686
R232,33 ST,21:00:00,23732619.515151516,25809864.696969695,372.40909090909093,301.92424242424244,674.3333333333334
R232A,33 ST,21:00:00,186048575.4090909,69680188.74242425,182.86363636363637,113.04545454545455,295.90909090909093
