CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N078,14 ST,00:00:00,259934776.55555555,43858132.277777776,871.3333333333334,336.3888888888889,1207.7222222222222
R127,14 ST,00:00:00,246344865.578125,68834227.109375,857.921875,211.84375,1069.765625
N513,14 ST,00:00:00,5258682.296875,4417901.5625,87.71875,104.234375,191.953125
N512,14 ST,00:00:00,25312392.921875,31731368.25,277.03125,259.25,536.28125
R128,14 ST,00:00:00,29233812.4375,16323573.515625,403.96875,83.875,487.84375
N511,14 ST,00:00:00,11479056.952380951,9160293.396825397,64.60317460317461,30.047619047619047,94.65079365079364
N510,14 ST,00:00:00,219663538.921875,139477236.96875,57.0,33.09375,90.09375
N078,14 ST,01:00:00,260602957.21875,44225845.90625,617.265625,211.75,829.015625
N513,14 ST,03:00:00,5142278.0,4236900.133333334,31.6,56.0,87.6
N512,14 ST,03:00:00,25148570.733333334,31406777.266666666,73.66666666666667,154.66666666666666,228.33333333333334
R127,14 ST,03:00:00,247079743.53333333,69225530.93333334,284.53333333333336,169.06666666666666,453.6
N511,14 ST,03:00:00,9186149.666666666,7487419.666666667,13.266666666666667,33.86666666666667,47.13333333333333
R128,14 ST,03:00:00,29177968.066666666,16270043.066666666,80.33333333333333,53.2,133.53333333333333
N510,14 ST,03:00:00,222238412.93333334,141683715.46666667,22.933333333333334,25.2,48.13333333333333
R127,14 ST,03:24:28,142066180.0,18317080.0,1.0,1.0,2.0
R127,14 ST,03:25:49,10196485.0,6880219.0,1.0,0.0,1.0
R127,14 ST,03:27:11,152142754.0,28447543.0,2.0,3.0,5.0
R127,14 ST,03:28:32,247988676.0,69790927.0,40.0,14.0,54.0
N512,14 ST,04:00:00,25446027.746268656,31839336.358208954,73.02985074626865,217.19402985074626,290.2238805970149
N078,14 ST,04:00:00,259910771.46666667,43838355.46666667,326.26666666666665,473.3333333333333,799.6
R127,14 ST,04:00:00,246383572.53731343,68854782.3283582,301.2985074626866,263.46268656716416,564.7611940298508
R128,14 ST,04:00:00,29234318.98507463,16322795.029850746,98.53731343283582,98.92537313432835,197.46268656716418
N513,14 ST,04:00:00,5200385.910447761,4390511.134328358,35.19402985074627,78.55223880597015,113.74626865671642
N511,14 ST,04:00:00,11438080.358208954,9078466.149253732,17.611940298507463,75.44776119402985,93.05970149253731
N510,14 ST,04:00:00,228718551.1044776,145214609.2835821,20.0,45.71641791044776,65.71641791044776
N078,14 ST,05:00:00,260579236.6716418,44214101.40298507,396.05970149253733,812.2985074626865,1208.358208955224
N513,14 ST,07:00:00,5142309.6,4236956.133333334,104.33333333333333,383.8,488.1333333333333
R127,14 ST,07:00:00,247080028.06666666,69225700.0,617.6666666666666,883.1333333333333,1500.8
N512,14 ST,07:00:00,25148644.4,31406931.933333334,214.2,760.6,974.8
N510,14 ST,07:00:00,223296759.33333334,142225436.33333334,76.13333333333334,292.93333333333334,369.06666666666666
N511,14 ST,07:00:00,11481997.0,8980023.0,69.33333333333333,312.73333333333335,382.06666666666666
R128,14 ST,07:00:00,29178048.4,16270096.266666668,383.3333333333333,420.8666666666667,804.2
R127,14 ST,07:50:19,242954055.0,66954018.0,28.0,55.0,83.0
R128,14 ST,08:00:00,29234417.52238806,16322893.95522388,521.8805970149253,595.9104477611941,1117.7910447761194
N511,14 ST,08:00:00,12380020.626865672,9641270.925373135,129.71641791044777,355.3134328358209,485.02985074626866
N512,14 ST,08:00:00,25307408.89552239,31720223.447761193,350.4029850746269,919.955223880597,1270.358208955224
N513,14 ST,08:00:00,5207209.447761194,4392886.985074627,125.38805970149254,473.9850746268657,599.3731343283582
N510,14 ST,08:00:00,228953375.92537314,145299520.01492536,108.01492537313433,326.5820895522388,434.5970149253731
R127,14 ST,08:00:00,246244731.01492536,68761510.89552239,977.7910447761194,1198.7761194029852,2176.5671641791046
N078,14 ST,08:00:00,259911097.73333332,43838828.8,1059.2666666666667,2204.3333333333335,3263.6
