CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A046,CANAL ST,05:00:00,2171054463.6567163,665240707.880597,460.910447761194,1124.9701492537313,1585.8805970149253
N090,CANAL ST,07:00:00,14679484.4,21634947.6,162.86666666666667,487.6666666666667,650.5333333333333
N089,CANAL ST,07:00:00,939446071.0,574965477.6666666,406.93333333333334,922.4,1329.3333333333333
N089,CANAL ST,07:52:46,935616872.0,570970621.0,8.0,5.0,13.0
A046,CANAL ST,07:59:09,2113340074.0,650221357.0,307.0,986.0,1293.0
N090,CANAL ST,08:00:00,14776875.611940298,22198500.208955225,224.01492537313433,610.776119402985,834.7910447761194
A046,CANAL ST,08:00:00,2173570095.733333,665908266.6666666,1715.4666666666667,4007.6666666666665,5723.133333333333
R120,CANAL ST,08:00:00,2600277.5,11487434.142857144,62.285714285714285,407.2857142857143,469.57142857142856
R119,CANAL ST,08:00:00,15660619.923076924,5448458.384615385,187.23076923076923,109.92307692307692,297.15384615384613
A043,CANAL ST,08:00:00,768462339.1333333,926494084.0666667,745.1333333333333,2728.4,3473.5333333333333
A066,CANAL ST,08:00:00,815847224.6,1948326148.8666666,648.8,828.0,1476.8
N089,CANAL ST,08:00:00,939934390.2575758,575368427.7272727,624.9848484848485,1262.530303030303,1887.5151515151515
N089,CANAL ST,08:01:27,940373139.0,575671639.0,742.0,1758.0,2500.0
A066,CANAL ST,08:01:45,1751401596.0,1771676942.0,26.0,156.0,182.0
R119,CANAL ST,08:02:08,16799114.0,5800484.0,27.0,22.0,49.0
A066,CANAL ST,08:45:37,1751401622.0,1771677098.0,16.0,117.0,133.0
R119,CANAL ST,09:00:00,16596751.257575758,5711630.318181818,299.6515151515151,174.12121212121212,473.77272727272725
A043,CANAL ST,09:00:00,769041162.4179105,927026158.3283582,1225.7910447761194,3228.179104477612,4453.9701492537315
A046,CANAL ST,09:00:00,2171055007.8656716,665241878.7761194,2605.1641791044776,4750.313432835821,7355.477611940299
R120,CANAL ST,09:00:00,2620573.8095238097,11528680.746031746,83.5079365079365,502.85714285714283,586.3650793650794
A066,CANAL ST,09:00:00,406028999.7910448,1588949867.0298507,1050.641791044776,749.9402985074627,1800.5820895522388
A066,CANAL ST,09:16:30,5240292.0,2046595.0,652.0,564.0,1216.0
N090,CANAL ST,11:00:00,14850678.2,22319312.466666665,501.0,762.2,1263.2
N089,CANAL ST,11:00:00,939446477.9333333,574966400.0666667,1307.8,1692.0,2999.8
R119,CANAL ST,12:00:00,14561448.4,4989398.466666667,403.3333333333333,164.06666666666666,567.4
N089,CANAL ST,12:00:00,939941565.4776119,575374223.1940298,1563.1044776119404,1784.8507462686566,3347.955223880597
