CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A027,28 ST,00:00:00,11729885.82857143,10511108.16,144.72,46.44571428571429,191.16571428571427
R134,28 ST,00:00:00,12310970.82142857,142308689.4642857,40.67857142857143,44.0,84.67857142857143
A029,28 ST,00:00:00,18655625.586206898,27944471.528735634,116.35057471264368,59.49425287356322,175.8448275862069
R228,28 ST,00:00:00,1475136819.5172415,1905931204.137931,123.41379310344827,87.03448275862068,210.44827586206895
R229,28 ST,00:00:00,24613244.4,19212398.966666665,262.7,73.36666666666666,336.06666666666666
R230,28 ST,00:00:00,40815.0,2375194.0,0.0,1.0,1.0
R133,28 ST,00:00:00,22122997.310344826,7362909.413793104,156.68965517241378,34.13793103448276,190.82758620689654
R228,28 ST,01:00:00,1391858117.4497042,1778139267.556213,51.585798816568044,91.46745562130178,143.0532544378698
R134,28 ST,01:00:00,12308798.2716763,133036217.41040462,28.54335260115607,48.34104046242775,76.88439306358381
R230,28 ST,01:00:00,2330504.2352941176,2929872.3529411764,1.8235294117647058,6.235294117647059,8.058823529411764
R133,28 ST,01:00:00,20710782.289156627,6728229.873493976,84.68072289156626,21.927710843373493,106.60843373493977
R229,28 ST,01:00:00,21345257.935672514,13823595.304093568,149.76608187134502,70.33333333333333,220.09941520467837
A029,28 ST,03:00:00,18641595.166666668,27933152.2,42.3,294.4,336.7
A027,28 ST,03:00:00,11345018.266666668,10184734.2,66.8,205.73333333333332,272.53333333333336
R229,28 ST,04:00:00,24613507.1,19212472.333333332,732.8666666666667,875.1,1607.9666666666667
R228,28 ST,04:00:00,1477532000.7666667,1906792772.7,395.8333333333333,1575.8333333333333,1971.6666666666667
R133,28 ST,04:00:00,22161282.766666666,7386398.7,253.63333333333333,251.76666666666668,505.4
R134,28 ST,04:00:00,12735526.966666667,152662581.83333334,137.43333333333334,593.6,731.0333333333333
A027,28 ST,04:00:00,11730030.548571428,10511154.605714286,193.2,452.9428571428571,646.1428571428571
