CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R231,33 ST,00:00:00,43059748.7,20713823.433333334,165.2,42.766666666666666,207.96666666666667
R231A,33 ST,00:00:00,17646930.7,10797500.866666667,117.5,33.8,151.3
R232A,33 ST,00:00:00,179681088.24137932,68779553.62068966,43.758620689655174,14.482758620689655,58.241379310344826
R232,33 ST,00:00:00,22659693.2,24784184.633333333,57.2,44.166666666666664,101.36666666666666
R231A,33 ST,01:00:00,18187664.171428572,11899903.325714286,56.76571428571429,30.091428571428573,86.85714285714286
R232,33 ST,01:00:00,22841486.300613496,24835291.73619632,29.29447852760736,74.93251533742331,104.22699386503068
R231,33 ST,01:00:00,43166459.011627905,20821690.593023255,83.45348837209302,39.401162790697676,122.8546511627907
R232A,33 ST,01:00:00,186051298.16149068,67526757.2173913,19.919254658385093,21.242236024844722,41.161490683229815
R232,33 ST,04:00:00,23358144.766666666,25429096.433333334,452.3666666666667,1357.4666666666667,1809.8333333333333
R231A,33 ST,04:00:00,17585767.9,10672303.133333333,337.6666666666667,382.53333333333336,720.2
R231,33 ST,04:00:00,43059913.9,20713866.2,534.1,568.9,1103.0
R232A,33 ST,04:00:00,181058332.73333332,68796666.8,128.43333333333334,473.53333333333336,601.9666666666667
R232,33 ST,05:00:00,23767927.74857143,25845954.102857143,1274.9657142857143,2478.28,3753.2457142857143
R231,33 ST,05:00:00,43588786.55428571,21015537.89142857,1096.04,1206.7428571428572,2302.782857142857
R231A,33 ST,05:00:00,18556122.48,12199834.657142857,718.6571428571428,1043.4685714285715,1762.1257142857144
R232A,33 ST,05:00:00,187207217.91428572,69596977.46285714,374.22285714285715,872.4857142857143,1246.7085714285715
R231A,33 ST,06:28:59,18382806.0,12043414.0,595.0,921.0,1516.0
R231A,33 ST,06:31:50,18528941.0,12160259.0,743.0,1708.0,2451.0
R232,33 ST,07:15:58,20889477.0,22834757.0,266.0,727.0,993.0
R231,33 ST,07:48:23,43462024.0,20898037.0,179.0,219.0,398.0
R232A,33 ST,07:58:55,287128989.0,85316340.0,295.0,401.0,696.0
