CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R226A,23 ST,05:00:00,36584937.268656716,21369994.119402986,25.91044776119403,128.5820895522388,154.49253731343285
N076,23 ST,07:00:00,32072537.933333334,17178923.666666668,688.6,846.6666666666666,1535.2666666666667
A031,23 ST,07:00:00,20493181.533333335,16705084.733333332,415.6,855.6666666666666,1271.2666666666667
N509,23 ST,07:00:00,20249407.733333334,14568579.066666666,322.0,713.4,1035.4
N508,23 ST,07:00:00,2780310614.071429,2909307521.214286,210.64285714285714,1132.2857142857142,1342.9285714285713
N077,23 ST,07:00:00,13927295.266666668,26509751.4,307.46666666666664,963.3333333333334,1270.8
A030,23 ST,07:00:00,129890697.66666667,20102399.733333334,532.8666666666667,877.2666666666667,1410.1333333333334
N075,23 ST,07:00:00,154897849.33333334,1128326.8,270.8666666666667,156.26666666666668,427.1333333333333
N076,23 ST,07:58:11,19327816.0,10336304.0,9.0,3.0,12.0
N509,23 ST,08:00:00,20819356.411764707,14934472.078431373,525.8235294117648,843.7254901960785,1369.549019607843
A031,23 ST,08:00:00,20620804.507692307,16723321.0,595.1846153846154,886.6307692307693,1481.8153846153846
N508,23 ST,08:00:00,2268565078.6034484,2394872969.672414,365.8965517241379,1164.8620689655172,1530.7586206896551
R227,23 ST,08:00:00,39413533.46666667,20801266.333333332,523.6,525.7333333333333,1049.3333333333333
R226A,23 ST,08:00:00,36326524.14285714,21055443.57142857,106.21428571428571,258.42857142857144,364.64285714285717
N076,23 ST,08:00:00,32288366.242424242,17303126.045454547,919.3181818181819,837.6969696969697,1757.0151515151515
R131,23 ST,08:00:00,20177499.2,7992078.533333333,588.6666666666666,416.2,1004.8666666666667
N077,23 ST,08:00:00,14017119.746268656,26454440.19402985,461.43283582089555,1147.9253731343283,1609.358208955224
A030,23 ST,08:00:00,130560458.70149253,20389461.95522388,811.4029850746268,1001.0895522388059,1812.4925373134329
R226,23 ST,08:00:00,2062372729.0,1706431210.357143,385.14285714285717,1080.7857142857142,1465.9285714285713
R227A,23 ST,08:00:00,15551893.6,9000241.733333332,269.6,341.3333333333333,610.9333333333333
R132,23 ST,08:00:00,20986282.214285713,41364967.14285714,374.7142857142857,1235.4285714285713,1610.142857142857
N075,23 ST,08:00:00,157151026.77272728,62801333.65151515,327.75757575757575,171.04545454545453,498.8030303030303
R227,23 ST,09:00:00,39819805.84615385,20973945.923076924,689.8461538461538,375.33846153846156,1065.1846153846154
R226A,23 ST,09:00:00,36584953.85074627,21370150.67164179,154.44776119402985,386.86567164179104,541.3134328358209
R226,23 ST,09:00:00,2032379166.880597,1706936739.8656716,636.820895522388,1139.4626865671642,1776.2835820895523
R132,23 ST,09:00:00,20773502.6875,40947388.890625,448.734375,1267.25,1715.984375
R227A,23 ST,09:00:00,15616188.0,9076148.121212121,358.3181818181818,328.1363636363636,686.4545454545455
R131,23 ST,09:00:00,19546160.681818184,7805054.606060606,964.9090909090909,502.40909090909093,1467.3181818181818
N509,23 ST,11:00:00,20519161.85714286,14714161.857142856,1201.7857142857142,1307.642857142857,2509.4285714285716
A031,23 ST,11:00:00,20493597.133333333,16705940.4,1569.7333333333333,1158.3333333333333,2728.0666666666666
N075,23 ST,11:00:00,154898120.2,1128483.0666666667,540.6,220.2,760.8
N076,23 ST,11:00:00,32073226.533333335,17179770.333333332,1916.0666666666666,1344.2,3260.266666666667
N077,23 ST,11:00:00,13927602.733333332,26510714.733333334,933.2666666666667,1629.8666666666666,2563.133333333333
N508,23 ST,11:00:00,1361501114.2857144,1423997635.4285715,1083.0714285714287,1297.2857142857142,2380.3571428571427
A030,23 ST,11:00:00,129891230.53333333,20103277.0,2038.3333333333333,1224.7333333333333,3263.0666666666666
R226,23 ST,12:00:00,1904666085.3076923,1599994518.9230769,954.1538461538462,1088.7692307692307,2042.923076923077
R226A,23 ST,12:00:00,36326722.71428572,21055907.785714287,219.28571428571428,382.7142857142857,602.0
A031,23 ST,12:00:00,20402822.707692306,16621167.36923077,1653.553846153846,1102.753846153846,2756.3076923076924
N075,23 ST,12:00:00,157928824.58461538,84637709.87692308,521.7846153846153,210.92307692307693,732.7076923076924
R227,23 ST,12:00:00,39414071.46666667,20801780.333333332,1257.8,504.8,1762.6
N076,23 ST,12:00:00,32166143.970149253,17229186.71641791,1963.1641791044776,1202.1044776119404,3165.268656716418
N077,23 ST,12:00:00,13882986.895522388,26305564.880597014,1018.7313432835821,1612.313432835821,2631.044776119403
A030,23 ST,12:00:00,130621793.89552239,20417374.820895523,2462.805970149254,1244.5074626865671,3707.313432835821
R131,23 ST,12:00:00,20464108.35714286,8099198.0,1611.2857142857142,702.9285714285714,2314.214285714286
R132,23 ST,12:00:00,20059978.07142857,39889319.78571428,600.8571428571429,1286.4285714285713,1887.2857142857142
