CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N078,14 ST,00:00:00,259911314.6551724,43937632.62068965,485.7586206896552,180.44827586206895,666.2068965517242
N510,14 ST,00:00:00,221823302.69142857,141031901.41714287,36.23428571428571,17.377142857142857,53.61142857142857
N512,14 ST,00:00:00,25286343.49714286,31623879.302857142,123.41714285714286,93.67428571428572,217.09142857142857
N513,14 ST,00:00:00,5307833.571428572,4432496.7485714285,54.42857142857143,53.25714285714286,107.68571428571428
R127,14 ST,00:00:00,246346170.49425286,68835093.94252874,424.11494252873564,113.69540229885058,537.8103448275862
R128,14 ST,00:00:00,29188863.390804596,16299380.603448275,208.19540229885058,37.45402298850575,245.6494252873563
N511,14 ST,00:00:00,10812570.410404624,8626851.832369942,37.60115606936416,17.91329479768786,55.51445086705202
N078,14 ST,01:00:00,260584503.29142857,44218945.074285716,312.25714285714287,142.09714285714287,454.3542857142857
N513,14 ST,03:00:00,5145566.7,4241187.1,67.5,139.03333333333333,206.53333333333333
N511,14 ST,03:00:00,11240423.266666668,8953833.266666668,19.933333333333334,138.53333333333333,158.46666666666667
N512,14 ST,03:00:00,25154414.766666666,31414776.966666665,72.8,319.8,392.6
R128,14 ST,03:00:00,29173275.466666665,16267773.166666666,130.33333333333334,147.73333333333332,278.06666666666666
N510,14 ST,03:00:00,223930187.73333332,142720888.73333332,41.4,128.56666666666666,169.96666666666667
R127,14 ST,03:00:00,242138591.56666666,68330464.43333334,253.46666666666667,403.06666666666666,656.5333333333333
R127,14 ST,04:00:00,246346594.6091954,68835207.63793103,572.8850574712644,878.5977011494252,1451.4827586206898
N513,14 ST,04:00:00,5307888.0,4432550.005714286,206.2,324.63428571428574,530.8342857142857
N512,14 ST,04:00:00,25451188.72,31846381.942857143,165.11428571428573,779.7085714285714,944.8228571428572
N078,14 ST,04:00:00,259929352.66666666,43853709.3,747.9,2407.7,3155.6
N510,14 ST,04:00:00,229718334.46857142,145866139.82857144,153.83428571428573,418.65714285714284,572.4914285714286
R128,14 ST,04:00:00,29071897.03448276,16241238.235632183,464.81609195402297,350.18390804597703,815.0
N511,14 ST,04:00:00,12390261.965714285,9700577.211428571,49.245714285714286,387.5028571428571,436.74857142857144
N078,14 ST,05:00:00,260601526.77142859,44237997.251428574,1462.6971428571428,4034.445714285714,5497.142857142857
N512,14 ST,06:36:48,25142562.0,31406208.0,15.0,116.0,131.0
N513,14 ST,07:00:00,5145634.2,4241326.133333334,931.1666666666666,1368.0666666666666,2299.233333333333
