CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A027,28 ST,00:00:00,11738692.9375,10518430.890625,288.5,118.3125,406.8125
R228,28 ST,00:00:00,1304395948.0588236,1683077350.9411764,202.41176470588235,104.11764705882354,306.52941176470586
R133,28 ST,00:00:00,21759091.111111112,7228186.055555556,240.33333333333334,69.05555555555556,309.3888888888889
R229,28 ST,00:00:00,24618129.166666668,19215727.0,463.3333333333333,193.11111111111111,656.4444444444445
R134,28 ST,00:00:00,12391510.666666666,144397241.8888889,78.0,86.66666666666667,164.66666666666666
A029,28 ST,00:00:00,18440056.555555556,27701206.92063492,221.1904761904762,119.19047619047619,340.3809523809524
R230,28 ST,00:00:00,1753619.0,3167673.0,2.0,5.0,7.0
R228,28 ST,01:00:00,1494507090.484375,1912623538.46875,125.15625,92.765625,217.921875
R133,28 ST,01:00:00,21971735.540983606,7155351.377049181,192.80327868852459,44.67213114754098,237.47540983606558
R229,28 ST,01:00:00,20934964.015873015,13491462.587301588,261.6825396825397,102.47619047619048,364.1587301587302
R134,28 ST,01:00:00,12567409.936507937,145926594.33333334,57.74603174603175,54.98412698412698,112.73015873015873
R230,28 ST,01:00:00,3319986.1666666665,3169884.8333333335,3.3333333333333335,12.0,15.333333333333334
A029,28 ST,03:00:00,18635957.2,27925398.333333332,60.06666666666667,128.46666666666667,188.53333333333333
A027,28 ST,03:00:00,11338120.2,10178360.533333333,66.6,94.4,161.0
R229,28 ST,04:00:00,24601324.666666668,19203856.333333332,248.73333333333332,274.3333333333333,523.0666666666667
R230,28 ST,04:00:00,7361337.0,3562410.0,2.0,5.0,7.0
A029,28 ST,04:00:00,18879991.984615386,28266355.415384617,73.84615384615384,250.01538461538462,323.8615384615385
R133,28 ST,04:00:00,21296967.42857143,7041103.857142857,120.64285714285714,56.714285714285715,177.35714285714286
R134,28 ST,04:00:00,12050722.466666667,142793408.93333334,45.2,141.53333333333333,186.73333333333332
R228,28 ST,04:00:00,1370371406.642857,1770319953.642857,93.71428571428571,401.64285714285717,495.35714285714283
A027,28 ST,04:00:00,11723574.925373135,10505522.970149254,86.73134328358209,172.1044776119403,258.8358208955224
R229,28 ST,05:00:00,21143921.87878788,13812249.0,351.56060606060606,304.43939393939394,656.0
R133,28 ST,05:00:00,21921392.09375,7153692.46875,208.796875,98.03125,306.828125
R230,28 ST,05:00:00,3321923.5,2755916.1666666665,2.1666666666666665,5.333333333333333,7.5
R134,28 ST,05:00:00,12614773.784615384,146215485.06153846,113.35384615384615,256.38461538461536,369.73846153846154
R228,28 ST,05:00:00,1493749508.6268656,1912365438.9552238,209.1044776119403,703.7910447761194,912.8955223880597
A027,28 ST,07:00:00,11338186.8,10178454.933333334,326.26666666666665,721.5333333333333,1047.8
A029,28 ST,07:00:00,18636017.266666666,27925526.8,365.93333333333334,1064.4,1430.3333333333333
R134,28 ST,08:00:00,11993548.866666667,142569822.73333332,330.26666666666665,569.6666666666666,899.9333333333333
A027,28 ST,08:00:00,11723661.656716418,10505695.074626865,486.1194029850746,861.5074626865671,1347.6268656716418
R228,28 ST,08:00:00,1373803974.1333334,1777504174.4666667,556.1333333333333,1076.1333333333334,1632.2666666666667
R230,28 ST,08:00:00,1613423.6666666667,2864234.3333333335,1.6666666666666667,5.333333333333333,7.0
R229,28 ST,08:00:00,24601573.4,19204130.666666668,845.4666666666667,902.0666666666667,1747.5333333333333
A029,28 ST,08:00:00,18676402.73846154,28080917.230769232,524.7846153846153,1080.5384615384614,1605.323076923077
R133,28 ST,08:00:00,21297088.07142857,7041160.214285715,574.1428571428571,326.64285714285717,900.7857142857143
R228,28 ST,09:00:00,1493749717.7313433,1912366142.7462687,843.6567164179105,1391.402985074627,2235.0597014925374
R230,28 ST,09:00:00,2599954.3,3164284.9,2.9,11.5,14.4
R229,28 ST,09:00:00,21359119.439393938,13894769.030303031,1035.0757575757575,854.5757575757576,1889.6515151515152
R134,28 ST,09:00:00,12548524.307692308,150378703.56923077,464.5692307692308,673.5538461538462,1138.123076923077
R133,28 ST,09:00:00,22010840.936507937,7183115.698412699,846.5396825396825,346.0952380952381,1192.6349206349207
A027,28 ST,11:00:00,11338513.066666666,10179176.466666667,904.2,1173.5333333333333,2077.733333333333
A029,28 ST,11:00:00,18636383.2,27926591.2,910.8,1409.6,2320.4
R228,28 ST,12:00:00,1272131109.6,1649848836.0666666,889.7333333333333,1221.5333333333333,2111.266666666667
R230,28 ST,12:00:00,772502.5,1356640.25,3.5,6.0,9.5
R133,28 ST,12:00:00,21982074.46153846,7278626.230769231,1253.076923076923,531.3846153846154,1784.4615384615386
A029,28 ST,12:00:00,18827308.16923077,28246791.492307693,906.6307692307693,1293.7230769230769,2200.353846153846
A027,28 ST,12:00:00,11724147.776119404,10506556.582089553,1032.4925373134329,1184.7313432835822,2217.223880597015
R134,28 ST,12:00:00,12476451.466666667,142978772.93333334,487.6666666666667,611.3333333333334,1099.0
R229,28 ST,12:00:00,24602418.866666667,19205032.733333334,1457.3333333333333,1375.5333333333333,2832.866666666667
R230,28 ST,13:00:00,2621331.6,2229495.4,1.6,2.8,4.4
R133,28 ST,13:00:00,21864866.484375,7134103.03125,1279.71875,464.875,1744.59375
R134,28 ST,13:00:00,12623486.815384615,146245673.56923077,500.3076923076923,723.7846153846153,1224.0923076923077
R229,28 ST,13:00:00,21322441.318181816,13891157.606060605,1534.4848484848485,1224.1363636363637,2758.621212121212
R228,28 ST,13:00:00,1493750561.3880596,1912367534.1492538,1077.358208955224,1488.9701492537313,2566.3283582089553
A027,28 ST,15:00:00,11339417.266666668,10180350.0,1380.2,1190.0,2570.2
A029,28 ST,15:00:00,18637294.0,27928000.8,1168.1333333333334,1393.8666666666666,2562.0
R229,28 ST,16:00:00,24603876.2,19206408.266666666,1528.8,1423.4666666666667,2952.266666666667
A027,28 ST,16:00:00,11725180.268656716,10507741.313432835,1245.686567164179,1059.8805970149253,2305.5671641791046
A029,28 ST,16:00:00,18804639.769230768,28072560.984615386,957.1076923076923,1146.1076923076923,2103.2153846153847
R228,28 ST,16:00:00,1464715813.142857,1902080272.4285715,921.2857142857143,1239.7857142857142,2161.0714285714284
R133,28 ST,16:00:00,21298825.785714287,7041980.285714285,1278.7857142857142,458.57142857142856,1737.357142857143
R230,28 ST,16:00:00,0.0,465.0,0.0,1.0,1.0
R134,28 ST,16:00:00,11941993.8,142741137.6,501.8666666666667,488.3333333333333,990.2
R229,28 ST,17:00:00,21580929.015384614,14068750.96923077,1272.2615384615385,1147.2769230769231,2419.5384615384614
R134,28 ST,17:00:00,12571369.215384616,148303898.18461537,448.84615384615387,560.1384615384616,1008.9846153846154
R230,28 ST,17:00:00,4058638.0,2440851.0,1.25,5.75,7.0
R133,28 ST,17:00:00,21866033.171875,7134696.421875,1216.046875,412.328125,1628.375
R228,28 ST,17:00:00,1493751638.7462687,1912369023.119403,906.4179104477612,1233.1044776119404,2139.5223880597014
A029,28 ST,19:00:00,18638462.133333333,27929394.666666668,666.3333333333334,782.1333333333333,1448.4666666666667
A027,28 ST,19:00:00,11340797.466666667,10181540.0,799.9333333333333,672.6666666666666,1472.6
A027,28 ST,20:00:00,11726425.95522388,10508801.19402985,715.2537313432836,496.92537313432837,1212.1791044776119
R133,28 ST,20:00:00,21300104.57142857,7042438.857142857,669.1428571428571,229.42857142857142,898.5714285714286
R229,28 ST,20:00:00,24605405.0,19207831.733333334,1064.4666666666667,681.6,1746.0666666666666
R228,28 ST,20:00:00,1271885314.8666666,1649862532.0666666,559.4,533.4,1092.8
A029,28 ST,20:00:00,18936875.53846154,28346314.63076923,528.3384615384615,591.0461538461539,1119.3846153846155
R134,28 ST,20:00:00,11884892.533333333,151545709.66666666,249.86666666666667,274.8,524.6666666666666
R230,28 ST,20:00:00,1472171.5,2543261.5,1.0,4.0,5.0
R133,28 ST,21:00:00,21867362.25,7134980.203125,643.796875,192.25,836.046875
R228,28 ST,21:00:00,1470740327.358209,1883640637.3731344,552.9701492537314,501.4925373134328,1054.4626865671642
R134,28 ST,21:00:00,12197306.343283582,141988211.13432837,200.11940298507463,296.34328358208955,496.46268656716416
R229,28 ST,21:00:00,21280915.696969695,13868531.257575758,914.1363636363636,475.969696969697,1390.1060606060605
R230,28 ST,21:00:00,5149186.0,2796273.3333333335,3.3333333333333335,12.833333333333334,16.166666666666668
A027,28 ST,23:00:00,11341597.4,10182212.666666666,326.8666666666667,186.06666666666666,512.9333333333333
A029,28 ST,23:00:00,18639128.466666665,27930176.8,292.0,193.46666666666667,485.46666666666664
